SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,09209,Waterville,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2010-11,33049,Wellpinit,4,2,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
2010-11,04246,Wenatchee,40,11,1,2,1,8,5,18,33,13,3,39.4,51.5,9.1
2010-11,32363,West Valley (Spokane),25,8,0,1,0,0,1,15,18,13,3,72.2,11.1,16.7
2010-11,39208,West Valley (Yakima),36,5,1,2,2,2,0,23,18,11,0,61.1,38.9,0.0
2010-11,21303,White Pass,8,2,0,0,1,0,0,5,5,3,1,60.0,20.0,20.0
2010-11,27416,White River,43,11,0,1,3,3,2,17,37,26,2,70.3,24.3,5.4
2010-11,20405,White Salmon Valley,15,2,1,0,1,0,0,3,14,11,1,78.6,14.3,7.1
2010-11,22200,Wilbur,4,1,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,25160,Willapa Valley,5,0,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2010-11,13167,Wilson Creek,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21232,Winlock,7,4,0,0,0,2,0,6,5,3,0,60.0,40.0,0.0
2010-11,14117,Wishkah Valley,5,1,0,0,1,1,0,3,3,1,0,33.3,66.7,0.0
2010-11,20094,Wishram,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08404,Woodland,23,6,0,0,3,0,0,10,19,16,0,84.2,15.8,0.0
2010-11,39007,Yakima,150,33,0,2,3,13,16,68,115,70,11,60.9,29.6,9.6
2010-11,34002,Yelm,64,19,0,0,1,3,7,43,40,26,3,65.0,27.5,7.5
2010-11,39205,Zillah,15,7,0,0,0,0,0,8,14,14,0,100.0,0.0,0.0
